month_start,month_label,time_index,genai_share_pct,software_postings_index,total_postings_index_sa
2022-11-01,2022-11,0,0.411323367050962,147.08566666666667,147.735
2022-12-01,2022-12,1,0.49219457670953254,135.28967741935483,144.4206451612903
2023-01-01,2023-01,2,0.6199668428360403,126.32774193548387,140.58225806451614
2023-02-01,2023-02,3,0.88610303935234,114.17214285714286,136.57357142857143
2023-03-01,2023-03,4,0.9312174279438356,102.56,134.95225806451614
2023-04-01,2023-04,5,1.2510428889254381,98.187,136.025
2023-05-01,2023-05,6,1.8937645500655675,97.37096774193549,134.68870967741935
2023-06-01,2023-06,7,2.4246590843600417,86.96366666666667,131.80566666666667
2023-07-01,2023-07,8,3.215945952208642,83.54838709677419,129.42548387096775
2023-08-01,2023-08,9,5.172575856869678,79.41451612903225,128.5041935483871
2023-09-01,2023-09,10,5.876494299526298,77.28999999999999,127.03866666666666
2023-10-01,2023-10,11,6.882494570120515,75.1525806451613,124.93612903225807
2023-11-01,2023-11,12,7.303376027843665,73.001,123.25533333333333
2023-12-01,2023-12,13,8.481645350867318,72.49870967741936,121.27741935483871
2024-01-01,2024-01,14,9.26657939879131,71.82548387096774,119.37741935483871
2024-02-01,2024-02,15,10.90127902286029,71.13655172413793,118.20586206896552
2024-03-01,2024-03,16,11.82646832660119,70.7958064516129,118.57612903225807
2024-04-01,2024-04,17,12.779388413266412,70.398,118.51366666666667
2024-05-01,2024-05,18,13.333056601763355,69.17096774193548,115.85483870967742
2024-06-01,2024-06,19,15.757515654842697,69.91633333333333,114.22
2024-07-01,2024-07,20,16.603534828267755,70.14967741935483,113.6609677419355
2024-08-01,2024-08,21,17.32696791627431,68.4683870967742,113.35580645161289
2024-09-01,2024-09,22,19.3826192140652,69.39833333333333,112.41733333333333
2024-10-01,2024-10,23,20.596472857399377,68.67483870967742,110.05096774193548
2024-11-01,2024-11,24,21.47572882501366,67.33866666666667,109.49466666666667
2024-12-01,2024-12,25,22.116277472750536,67.44451612903227,110.26935483870967
2025-01-01,2025-01,26,24.078774379573993,67.47419354838709,110.15322580645162
2025-02-01,2025-02,27,26.886492318867866,64.86821428571429,109.30357142857143
2025-03-01,2025-03,28,25.373316155938863,62.32322580645161,107.76193548387097
2025-04-01,2025-04,29,25.768607800350292,63.555,106.76066666666667
2025-05-01,2025-05,30,26.859962644937628,62.696774193548386,105.88645161290323
