month_start,month_label,time_index,genai_share_pct,software_postings_index,total_postings_index_sa,thread_id,thread_title,top_level_comments,software_posts,junior_intern_mentions,senior_mentions,mixed_mentions,unspecified_seniority,junior_intern_share,senior_share,junior_intern_share_3m,senior_share_3m
2023-09-01,2023-09,10,5.876494299526298,77.28999999999999,127.03866666666666,37351667,Ask HN: Who is hiring? (September 2023),296,258,6,142,2,112,0.0232558139534883,0.5503875968992248,0.043504325710568,0.5282603376238627
2023-10-01,2023-10,11,6.882494570120515,75.1525806451613,124.93612903225807,37739028,Ask HN: Who is hiring? (October 2023),321,271,10,158,5,108,0.03690036900369,0.5830258302583026,0.0364994294067787,0.5488571072981232
2023-11-01,2023-11,12,7.303376027843665,73.001,123.25533333333333,38099086,Ask HN: Who is hiring? (November 2023),362,311,14,161,7,143,0.045016077170418,0.5176848874598071,0.0350574200425321,0.5503661048724449
2023-12-01,2023-12,13,8.481645350867318,72.49870967741936,121.27741935483871,38490811,Ask HN: Who is hiring? (December 2023),314,269,12,147,7,117,0.0446096654275092,0.5464684014869888,0.0421753705338724,0.5490597064016995
2024-01-01,2024-01,14,9.26657939879131,71.82548387096774,119.37741935483871,38842977,Ask HN: Who is hiring? (January 2024),278,240,10,133,8,105,0.0416666666666666,0.5541666666666667,0.0437641364215313,0.5394399852044875
2024-02-01,2024-02,15,10.90127902286029,71.13655172413793,118.20586206896552,39217310,Ask HN: Who is hiring? (February 2024),341,282,9,157,8,124,0.0319148936170212,0.5567375886524822,0.0393970752370657,0.5524575522687126
2024-03-01,2024-03,16,11.82646832660119,70.7958064516129,118.57612903225807,39562986,Ask HN: Who is hiring? (March 2024),300,251,12,150,8,97,0.047808764940239,0.5976095617529881,0.0404634417413089,0.5695046056907124
2024-04-01,2024-04,17,12.779388413266412,70.398,118.51366666666667,39894820,Ask HN: Who is hiring? (April 2024),291,249,9,140,6,106,0.036144578313253,0.5622489959839357,0.0386227456235044,0.5721987154631353
2024-05-01,2024-05,18,13.333056601763355,69.17096774193548,115.85483870967742,40224213,Ask HN: Who is hiring? (May 2024),398,331,13,179,6,145,0.039274924471299,0.540785498489426,0.041076089241597,0.56688135207545
2024-06-01,2024-06,19,15.757515654842697,69.91633333333333,114.22,40563283,Ask HN: Who is hiring? (June 2024),340,293,7,174,5,117,0.0238907849829351,0.5938566552901023,0.033103429255829,0.5656303832544881
2024-07-01,2024-07,20,16.603534828267755,70.14967741935483,113.6609677419355,40846428,Ask HN: Who is hiring? (July 2024),380,319,11,173,5,140,0.0344827586206896,0.542319749216301,0.0325494893583079,0.5589873009986098
2024-08-01,2024-08,21,17.32696791627431,68.4683870967742,113.35580645161289,41129813,Ask HN: Who is hiring? (August 2024),325,273,10,155,5,113,0.0366300366300366,0.5677655677655677,0.0316678600778871,0.5679806574239904
2024-09-01,2024-09,22,19.3826192140652,69.39833333333333,112.41733333333333,41425910,Ask HN: Who is hiring? (September 2024),304,263,11,127,5,130,0.0418250950570342,0.4828897338403042,0.0376459634359201,0.530991683607391
2024-10-01,2024-10,23,20.596472857399377,68.67483870967742,110.05096774193548,41709301,Ask HN: Who is hiring? (October 2024),330,275,9,140,6,132,0.0327272727272727,0.509090909090909,0.0370608014714478,0.5199154035655936
2024-11-01,2024-11,24,21.47572882501366,67.33866666666667,109.49466666666667,42017580,Ask HN: Who is hiring? (November 2024),318,272,11,144,7,124,0.0404411764705882,0.5294117647058824,0.0383311814182983,0.5071308025456985
2024-12-01,2024-12,25,22.116277472750536,67.44451612903227,110.26935483870967,42297424,Ask HN: Who is hiring? (December 2024),330,270,14,149,7,114,0.0518518518518518,0.5518518518518518,0.0416734336832376,0.5301181752162144
2025-01-01,2025-01,26,24.078774379573993,67.47419354838709,110.15322580645162,42575537,Ask HN: Who is hiring? (January 2025),276,233,13,120,8,108,0.055793991416309,0.5150214592274678,0.0493623399129163,0.532095025261734
2025-02-01,2025-02,27,26.886492318867866,64.86821428571429,109.30357142857143,42919502,Ask HN: Who is hiring? (February 2025),396,339,18,188,10,143,0.0530973451327433,0.5545722713864307,0.0535810628003014,0.5404818608219168
2025-03-01,2025-03,28,25.373316155938863,62.32322580645161,107.76193548387097,43243024,Ask HN: Who is hiring? (March 2025),354,289,16,157,10,126,0.0553633217993079,0.5432525951557093,0.0547515527827867,0.5376154419232027
2025-04-01,2025-04,29,25.768607800350292,63.555,106.76066666666667,43547611,Ask HN: Who is hiring? (April 2025),307,263,7,136,4,124,0.026615969581749,0.5171102661596958,0.0450255455046001,0.538311710900612
2025-05-01,2025-05,30,26.859962644937628,62.696774193548386,105.88645161290323,43858554,Ask HN: Who is hiring? (May 2025),301,260,10,139,4,115,0.0384615384615384,0.5346153846153846,0.0401469432808651,0.5316594153102633
